Source Tissue Type,Target Destination Type,Source Order,Destination Order,Euclidean Distance,Distance Index
TE,TE,9,6,122.175761,0.234935624
TE,TE,9,7,140.9723161,0.117231633
TE,TE,9,8,130.1681647,0.184887208
TE,TE,9,9,0,1
TE,TE,9,10,45.78601194,0.713288083
TE,TE,9,11,85.07071923,0.467287323
TE,TE,9,12,61.05032235,0.617703001
TE,TE,9,13,34.11595724,0.786365943
TE,TE,9,14,156.5783784,0.019506501
TE,TE,9,15,39.09781407,0.755169565
TE,TE,9,16,126.2684569,0.20930717
TE,TE,9,17,66.5225796,0.583435737
TE,TE,9,18,146.381723,0.083357938
TE,TE,9,19,145.8816858,0.086489169
TE,TE,9,20,68.0839708,0.573658308
TE,TE,9,21,135.8766096,0.149140937
TE,TE,9,22,104.9730915,0.342658707
TE,TE,9,23,92.20481231,0.422613646
TE,ICM,9,24,112.0849813,0.298124067
TE,TE,9,25,151.7307802,0.049862152
TE,ICM,9,26,111.1375593,0.304056822
TE,TE,9,27,88.44037255,0.44618656
TE,TE,9,28,79.47380882,0.502335165
TE,ICM,9,29,122.2916645,0.234209837
TE,ICM,9,30,97.87345292,0.38711663
TE,TE,9,31,140.6662221,0.119148393
TE,TE,9,32,136.4649628,0.14545667
TE,TE,9,33,51.73161036,0.676056757
TE,ICM,9,34,94.96820015,0.405309317
TE,ICM,9,35,59.7802054,0.625656471
TE,TE,9,36,92.93095231,0.418066559
TE,TE,9,37,27.0478565,0.830626376
TE,TE,9,38,56.22823239,0.647898919
TE,TE,9,39,113.181538,0.291257431
TE,ICM,9,40,83.60482864,0.476466727
TE,TE,9,41,72.41060805,0.546564914
TE,TE,9,42,145.3913078,0.089559916
TE,ICM,9,43,118.8802238,0.255572272
TE,ICM,9,44,92.83893185,0.418642791
TE,TE,9,45,120.3662219,0.246266954
TE,ICM,9,46,96.80719899,0.39379351
